PointNum,Observer,Survey,Date,StartTime,EndTime,Temp.deg.F,Wind.Beau.Code,Sky.Beau.Code,NOBOnum,Angle,DistBin,int1,int2,int3,int4
8,Elina,1,4/28/2024,7:10:00 AM,7:22:00 AM,73,4,2,1,344,2,1,1,1,1
8,Elina,1,4/28/2024,7:10:00 AM,7:22:00 AM,73,4,2,2,20,1,0,1,0,0
8,Elina,1,4/28/2024,7:10:00 AM,7:22:00 AM,73,4,2,3,190,2,0,1,1,0
1,Jake,2,5/18/2024,8:05:00 AM,8:17:00 AM,69,1,0,NA,NA,NA,NA,NA,NA,NA
3,Jake,2,5/18/2024,8:24:00 AM,8:36:00 AM,73,1,0,1,131,1,0,1,1,0
3,Jake,2,5/18/2024,8:24:00 AM,8:36:00 AM,73,1,0,2,188,3,0,1,0,0
6,Dave,2,5/18/2024,7:12:00 AM,7:24:00 AM,69,0,2,1,309,1,1,1,1,1
6,Dave,2,5/18/2024,7:12:00 AM,7:24:00 AM,69,0,2,2,62,1,1,0,1,1
6,Dave,2,5/18/2024,7:12:00 AM,7:24:00 AM,69,0,2,3,334,1,0,0,1,1
8,Dave,2,5/18/2024,7:28:00 AM,7:40:00 AM,69,0,2,1,202,3,1,0,0,0
8,Dave,2,5/18/2024,7:28:00 AM,7:40:00 AM,69,0,2,2,46,1,1,0,0,0
8,Dave,2,5/18/2024,7:28:00 AM,7:40:00 AM,69,0,2,3,248,2,0,1,1,0
10,Elina,2,5/18/2024,7:44:00 AM,7:56:00 AM,69,0,2,1,147,1,1,0,1,0
2,Jake,2,5/19/2024,7:45:00 AM,7:57:00 AM,77,0,4,1,36,1,1,1,1,1
4,Jake,2,5/19/2024,7:29:00 AM,7:41:00 AM,77,0,4,NA,NA,NA,NA,NA,NA,NA
5,Jake,2,5/19/2024,7:11:00 AM,7:23:00 AM,75,0,4,1,280,3,1,0,0,1
5,Jake,2,5/19/2024,7:11:00 AM,7:23:00 AM,75,0,4,2,80,1,0,0,0,1
7,Elina,2,5/19/2024,6:36:00 AM,6:48:00 AM,78,0,0,NA,NA,NA,NA,NA,NA,NA
9,Elina,2,5/19/2024,6:54:00 AM,7:06:00 AM,78,0,4,NA,NA,NA,NA,NA,NA,NA
2,Dave,3,6/18/2024,7:45:00 AM,7:57:00 AM,78,0,2,1,70,1,0,1,1,1
2,Dave,3,6/18/2024,7:45:00 AM,7:57:00 AM,78,0,2,2,198,3,0,0,1,1
2,Dave,3,6/18/2024,7:45:00 AM,7:57:00 AM,78,0,2,3,251,3,0,0,1,0
2,Dave,3,6/18/2024,7:45:00 AM,7:57:00 AM,78,0,2,4,53,3,0,1,0,1
4,Dave,3,6/18/2024,7:29:00 AM,7:41:00 AM,78,0,2,1,282,1,1,0,1,1
4,Dave,3,6/18/2024,7:29:00 AM,7:41:00 AM,78,0,2,2,76,3,1,0,1,0
4,Dave,3,6/18/2024,7:29:00 AM,7:41:00 AM,78,0,2,3,8,1,0,1,1,0
4,Dave,3,6/18/2024,7:29:00 AM,7:41:00 AM,78,0,2,4,334,1,0,0,1,1
5,Dave,3,6/18/2024,7:09:00 AM,7:21:00 AM,78,0,2,1,297,3,0,1,0,0
5,Dave,3,6/18/2024,7:09:00 AM,7:21:00 AM,78,0,2,2,87,2,0,0,0,1
7,Dave,3,6/18/2024,6:30:00 AM,6:42:00 AM,78,0,2,1,226,1,1,0,0,0
9,Dave,3,6/18/2024,6:51:00 AM,7:03:00 AM,78,0,2,NA,NA,NA,NA,NA,NA,NA
1,Dave,3,6/21/2024,6:37:00 AM,6:49:00 AM,77,2,2,NA,NA,NA,NA,NA,NA,NA
3,Dave,3,6/21/2024,7:10:00 AM,7:22:00 AM,77,2,2,1,44,3,1,1,1,1
6,Dave,3,6/21/2024,7:27:00 AM,7:39:00 AM,77,2,2,1,303,3,0,0,1,0
8,Dave,3,6/21/2024,7:42:00 AM,7:54:00 AM,77,2,2,1,334,2,1,1,1,1
8,Dave,3,6/21/2024,7:42:00 AM,7:54:00 AM,77,2,2,2,11,3,0,1,0,1
10,Dave,3,6/21/2024,7:59:00 AM,8:11:00 AM,77,2,2,NA,NA,NA,NA,NA,NA,NA
1,Dave,4,7/12/2024,7:11:00 AM,7:23:00 AM,75,1,4,1,70,2,1,1,1,0
1,Dave,4,7/12/2024,7:11:00 AM,7:23:00 AM,75,1,4,2,322,1,1,1,0,0
3,Dave,4,7/12/2024,7:29:00 AM,7:41:00 AM,75,1,4,1,105,3,1,0,1,1
3,Dave,4,7/12/2024,7:29:00 AM,7:41:00 AM,75,1,4,2,308,2,1,0,0,0
3,Dave,4,7/12/2024,7:29:00 AM,7:41:00 AM,75,1,4,3,127,1,1,1,0,0
6,Dave,4,7/12/2024,6:25:00 AM,6:37:00 AM,75,1,4,NA,NA,NA,NA,NA,NA,NA
8,Dave,4,7/12/2024,6:42:00 AM,6:54:00 AM,75,1,4,1,170,2,1,0,0,0
8,Dave,4,7/12/2024,6:42:00 AM,6:54:00 AM,75,1,4,2,243,3,1,1,0,0
8,Dave,4,7/12/2024,6:42:00 AM,6:54:00 AM,75,1,4,3,115,1,1,1,1,1
8,Dave,4,7/12/2024,6:42:00 AM,6:54:00 AM,75,1,4,4,268,2,0,0,1,1
10,Dave,4,7/12/2024,6:04:00 AM,6:16:00 AM,75,1,4,NA,NA,NA,NA,NA,NA,NA
2,Dave,4,7/14/2024,7:26:00 AM,7:38:00 AM,74,0,4,1,20,3,1,1,1,1
2,Dave,4,7/14/2024,7:26:00 AM,7:38:00 AM,74,0,4,2,320,1,1,1,1,1
2,Dave,4,7/14/2024,7:26:00 AM,7:38:00 AM,74,0,4,3,262,2,1,1,1,1
4,Dave,4,7/14/2024,7:10:00 AM,7:23:00 AM,74,0,4,1,50,1,1,1,1,0
4,Dave,4,7/14/2024,7:10:00 AM,7:23:00 AM,74,0,4,2,3,2,1,1,1,1
4,Dave,4,7/14/2024,7:10:00 AM,7:23:00 AM,74,0,4,3,115,2,1,1,1,1
4,Dave,4,7/14/2024,7:10:00 AM,7:23:00 AM,74,0,4,4,100,2,0,0,0,1
5,Dave,4,7/14/2024,6:48:00 AM,7:00:00 AM,74,0,4,1,261,3,1,1,1,1
5,Dave,4,7/14/2024,6:48:00 AM,7:00:00 AM,74,0,4,2,37,2,1,1,1,1
5,Dave,4,7/14/2024,6:48:00 AM,7:00:00 AM,74,0,4,3,327,1,1,1,1,1
5,Dave,4,7/14/2024,6:48:00 AM,7:00:00 AM,74,0,4,4,95,1,1,1,1,1
5,Dave,4,7/14/2024,6:48:00 AM,7:00:00 AM,74,0,4,5,295,2,0,1,1,0
5,Dave,4,7/14/2024,6:48:00 AM,7:00:00 AM,74,0,4,6,63,2,0,0,1,1
7,Dave,4,7/14/2024,6:11:00 AM,6:23:00 AM,74,0,4,NA,NA,NA,NA,NA,NA,NA
9,Dave,4,7/14/2024,6:28:00 AM,6:40:00 AM,74,0,4,NA,NA,NA,NA,NA,NA,NA
