"","SiteID","Lat","Long","woody_prp","herb_prp","woody_mnParea","herb_mnParea","woody_ClmIdx","herb_ClmIdx","woody_lrgPInx","herb_lrgPInx","woody_AggInx","herb_AggInx","woody_EdgDens","herb_EdgDens","woody_Pdens","herb_Pdens","woody_IJI","herb_IJI","woody_COH","herb_COH","woody_DIV","herb_DIV","woody_SPLIT","herb_SPLIT","vegDens50m"
"15","Site 15",27.66653,-98.19855,0.657584383895893,0.324269670955316,0.0169864792360542,0.00150983170053949,0.777420487462998,0.759237752343865,20.1199455724139,22.1166629921365,92.3833023835568,83.726778252767,3333.61541819885,3532.85660914887,3872.48464736638,21465.6896587242,35.553163346594,52.8908913515493,99.6878767509077,99.4734082295432,0.893584337064299,0.950892914282457,9.39711291000672,20.3636600581811,0.604638825852465
"16","Site 16",27.66173,-98.212,0.764489798654419,0.225108873193174,0.0690198435869081,0.00076044926943765,0.73284709379642,0.716971203159057,57.5038305302166,2.45888861174458,93.7027869560649,78.074823895661,3211.33539977146,3297.55944718104,1107.33996877551,29632.1701141602,20.5711413703607,31.7786853179983,99.9043340806999,96.1269362367027,0.658250763490225,0.998479120296404,2.92612211869974,657.514198944046,0.628939041292921
"17","Site 17",27.66169,-98.20527,0.460415032701645,0.523393910142538,0.00672536585477771,0.00509763472055897,0.819312197889644,0.810991906576906,12.4723022071383,44.256340706792,90.252725951054,90.9871134790194,2998.22808332809,3157.52982798854,6847.8965254737,10262.5657956286,19.0002307693191,39.5485485156162,99.0470176556791,99.832086414035,0.976507573409843,0.803304783184565,42.5669096447876,5.08400771605103,0.623075712261923
"18","Site 18",27.65685,-98.21203,0.748796750220093,0.232398142727545,0.0461884122214291,0.00126669541800061,0.804313444416887,0.775062017908251,71.8958717036766,7.5561830908439,95.080892454309,82.737720743263,2458.56002901175,2684.34653287931,1620.80289351911,18360.851099102,39.9515912169479,62.6337865499903,99.9484675472297,98.4167671421642,0.483070103176794,0.993298675337447,1.93449828718653,149.224228097461,0.545471213788045
"19","Site 19",27.65682,-98.2053,0.67030212027162,0.298122836771038,0.0179037818211621,0.00172660794872995,0.809020114186488,0.784245426834759,50.6191260968331,11.3921428889582,93.6993480591608,84.8611423010704,2822.44294959331,3017.23753927877,3742.71871024856,17278.369186321,35.7584331725697,55.1830014679759,99.8354273720373,98.9760472182199,0.739141467217882,0.981979643269701,3.83349545569686,55.4927971164207,0.535204983133734
"20","Site 20",27.65204,-98.22436,0.673066910967857,0.307361435418459,0.0203498915921712,0.0026534502678212,0.827168139038642,0.819177645128053,25.7509859857519,24.0172990114532,94.3567141039911,87.4680362722382,2521.73325621564,2591.77109223294,3309.50735422627,11567.8107521554,52.2509037295523,58.8086554757991,99.6177203490938,99.625190351872,0.896338119193537,0.942134283152286,9.64674760114573,17.2813896461651,0.519492233171872
"21","Site 21",27.65201,-98.21848,0.687673032706114,0.289720712084749,0.0285724318813629,0.00224375862106315,0.817865890782917,0.796859249547501,49.607823050473,10.758253309341,94.3095867741778,85.573329634681,2612.54580200709,2797.38786224841,2406.41102499529,12916.6740878924,48.8167511570351,64.6617252153599,99.8484389024051,98.7892435167223,0.739372156544821,0.986973412489809,3.83688859464462,76.7660754758414,0.696837372187034
"22","Site 22",27.65198,-98.21274,0.75828882979912,0.204489084530646,0.0546938035805322,0.00105399936384072,0.795617075186165,0.745390237228746,73.8560039194727,2.22430073044718,95.0514153005223,79.7566413894992,2509.39040301752,2765.49230928936,1385.67214973868,19442.7123510208,61.5168627245711,77.9154322347366,99.9604493669429,97.0670106146765,0.454512076259549,0.998290949002467,1.83322115207047,585.120046998822,0.566912216083487
"23","Site 23",27.65195,-98.20534,0.759592975839085,0.2046069522122,0.0479652187579812,0.000869946344174213,0.75304318910351,0.711545487442845,67.6944798282574,1.35198332457398,94.0627280643404,77.0564306969887,3002.63819704351,3141.74854405148,1583.61120734891,23519.1008216428,49.1019888938355,60.1288500201366,99.9487989585534,95.3531880905753,0.537064068902205,0.99930541227422,2.16012612723455,1439.70295310997,0.570508455339916
"24","Site 24",27.64717,-98.22439,0.931841288497505,0.0555695832001948,0.430182514357323,0.000417406756200903,0.733038326850038,0.701954985779078,93.0389021522235,1.33378171322691,98.1693591260243,71.858620343408,1140.28797263117,1050.05523081238,216.51898830806,13368.5009638205,48.3863415327266,41.1374431082129,99.9923834563209,88.044313017827,0.134375857486416,0.999809873044904,1.15523580141402,5259.64348134635,0.832638232404678
"25","Site 25",27.64714,-98.21851,0.815739551096562,0.157634598411297,0.0976416000162536,0.000949469843791706,0.827683568826042,0.790982856054141,44.4325419803127,5.83025254999777,96.8200016140041,82.3959078704064,1734.55525351707,1861.4241383392,835.152108898439,16616.43381112,34.3277751637309,44.6804862510877,99.8834069143656,97.4478652380886,0.693796278050842,0.996186271511992,3.26579962397073,262.210590802276,0.632915567282322
"26","Site 26",27.64711,-98.21277,0.884665057871922,0.0973276131742414,0.190577280031714,0.000447795918441865,0.772912421652925,0.730968861575111,47.2320704798724,2.06509054953278,97.3702433492976,75.7261102016051,1557.33616000019,1581.23921751374,463.956861584961,21824.5307689566,32.732901583852,37.06171320261,99.9215288638181,92.8084776596199,0.608010049092772,0.999420792155703,2.55108580637229,1726.49595451079,0.494968668526735
"27","Site 27",27.64708,-98.20537,0.816932753862826,0.150861943758589,0.0694737473799847,0.000667938764463281,0.781223594385674,0.738204292399189,67.3086344970114,1.75397963637659,95.9868710406189,77.7773669186055,2191.02699988003,2243.47268351945,1175.35738268186,22628.7226623697,24.8232804577376,30.5219381840949,99.9307294028931,94.8978856191968,0.531261072517167,0.999230005334227,2.1333837267796,1298.71029560433,0.728713971326624
